Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Belize,Peru,,Asylum-seekers,5,5
Belize,Peru,,Total population of concern,5,5
Belize,Various,,Others of concern to UNHCR,2442,1221
Belize,Various,,Total population of concern,2442,1221
Benin,Angola,,Asylum-seekers,0,0
Benin,Angola,,Total population of concern,0,0
Benin,Burundi,,Total Refugee and people in refugee-like situations,0,0
Benin,Burundi,,Asylum-seekers,0,0
Benin,Burundi,,Total population of concern,0,0
Benin,Cameroon,,Asylum-seekers,0,0
Benin,Cameroon,,Total population of concern,0,0
Benin,Central African Rep.,,Total Refugee and people in refugee-like situations,766,766
Benin,Central African Rep.,,Asylum-seekers,109,0
Benin,Central African Rep.,,Total population of concern,875,766
Benin,Chad,,Asylum-seekers,0,0
Benin,Chad,,Total population of concern,0,0
Benin,"Congo, Republic of",,Asylum-seekers,7,0
Benin,"Congo, Republic of",,Total population of concern,7,0
Benin,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,167,167
Benin,Côte d'Ivoire,,Asylum-seekers,18,0
Benin,Côte d'Ivoire,,Total population of concern,185,167
Benin,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,0,0
Benin,Dem. Rep. of the Congo,,Asylum-seekers,24,0
Benin,Dem. Rep. of the Congo,,Total population of concern,26,0
Benin,Eritrea,,Total Refugee and people in refugee-like situations,0,0
Benin,Eritrea,,Total population of concern,0,0
Benin,Iraq,,Total Refugee and people in refugee-like situations,0,0
Benin,Iraq,,Total population of concern,0,0
Benin,Liberia,,Asylum-seekers,0,0
Benin,Liberia,,Total population of concern,0,0
Benin,Mali,,Total Refugee and people in refugee-like situations,5,5
Benin,Mali,,Total population of concern,5,5
Benin,Nigeria,,Asylum-seekers,6,0
Benin,Nigeria,,Total population of concern,6,0
Benin,Pakistan,,Total Refugee and people in refugee-like situations,5,5
Benin,Pakistan,,Total population of concern,5,5
Benin,Romania,,Asylum-seekers,0,0
Benin,Romania,,Total population of concern,0,0
Benin,Somalia,,Total Refugee and people in refugee-like situations,0,0
Benin,Somalia,,Total population of concern,0,0
Benin,Sri Lanka,,Total Refugee and people in refugee-like situations,7,7
Benin,Sri Lanka,,Total population of concern,7,7
Benin,Sudan,,Total Refugee and people in refugee-like situations,0,0
Benin,Sudan,,Asylum-seekers,0,0
Benin,Sudan,,Total population of concern,0,0
Benin,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,5,5
Benin,Syrian Arab Rep.,,Asylum-seekers,0,0
Benin,Syrian Arab Rep.,,Total population of concern,8,5
Benin,Turkey,,Total Refugee and people in refugee-like situations,0,0
Benin,Turkey,,Asylum-seekers,0,0
Benin,Turkey,,Total population of concern,5,0
Benin,Yemen,,Asylum-seekers,8,0
Benin,Yemen,,Total population of concern,8,0
Bolivia (Plurinational State of),Angola,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Angola,,Total population of concern,0,0
Bolivia (Plurinational State of),Cameroon,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Cameroon,,Total population of concern,0,0
Bolivia (Plurinational State of),Chile,,Total Refugee and people in refugee-like situations,8,0
Bolivia (Plurinational State of),Chile,,Total population of concern,8,0
Bolivia (Plurinational State of),Colombia,,Total Refugee and people in refugee-like situations,199,30
Bolivia (Plurinational State of),Colombia,,Asylum-seekers,0,0
Bolivia (Plurinational State of),Colombia,,Total population of concern,202,33
Bolivia (Plurinational State of),"Congo, Republic of",,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),"Congo, Republic of",,Total population of concern,0,0
Bolivia (Plurinational State of),Côte d'Ivoire,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Côte d'Ivoire,,Total population of concern,0,0
Bolivia (Plurinational State of),Cuba,,Total Refugee and people in refugee-like situations,9,0
Bolivia (Plurinational State of),Cuba,,Total population of concern,9,0
Bolivia (Plurinational State of),Ecuador,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Ecuador,,Total population of concern,0,0
Bolivia (Plurinational State of),Ethiopia,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Ethiopia,,Total population of concern,0,0
Bolivia (Plurinational State of),Ghana,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Ghana,,Total population of concern,0,0
Bolivia (Plurinational State of),Honduras,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Honduras,,Total population of concern,0,0
Bolivia (Plurinational State of),Iraq,,Total Refugee and people in refugee-like situations,16,0
Bolivia (Plurinational State of),Iraq,,Total population of concern,16,0
Bolivia (Plurinational State of),Israel,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Israel,,Total population of concern,0,0
Bolivia (Plurinational State of),Mexico,,Asylum-seekers,0,0
Bolivia (Plurinational State of),Mexico,,Total population of concern,0,0
Bolivia (Plurinational State of),Nigeria,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Nigeria,,Total population of concern,0,0
Bolivia (Plurinational State of),Pakistan,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Pakistan,,Total population of concern,0,0
Bolivia (Plurinational State of),Peru,,Total Refugee and people in refugee-like situations,515,18
Bolivia (Plurinational State of),Peru,,Total population of concern,515,18
Bolivia (Plurinational State of),Portugal,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Portugal,,Total population of concern,0,0
Bolivia (Plurinational State of),Russian Federation,,Total Refugee and people in refugee-like situations,5,0
Bolivia (Plurinational State of),Russian Federation,,Total population of concern,5,0
Bolivia (Plurinational State of),Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,0,0
Bolivia (Plurinational State of),Sri Lanka,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Sri Lanka,,Total population of concern,0,0
Bolivia (Plurinational State of),Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,20,0
Bolivia (Plurinational State of),Syrian Arab Rep.,,Total population of concern,20,0
Bolivia (Plurinational State of),Ukraine,,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Ukraine,,Total population of concern,0,0
Bolivia (Plurinational State of),United Kingdom,,Asylum-seekers,0,0
Bolivia (Plurinational State of),United Kingdom,,Total population of concern,0,0
Bolivia (Plurinational State of),United States of America,,Asylum-seekers,0,0
Bolivia (Plurinational State of),United States of America,,Total population of concern,0,0
Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),,Total Refugee and people in refugee-like situations,0,0
Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),,Total population of concern,0,0
Bosnia and Herzegovina,Afghanistan,,Asylum-seekers,9,9
Bosnia and Herzegovina,Afghanistan,,Total population of concern,9,9
Bosnia and Herzegovina,Algeria,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Algeria,,Total population of concern,0,0
Bosnia and Herzegovina,Bosnia and Herzegovina,,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",98574,2868
Bosnia and Herzegovina,Bosnia and Herzegovina,,Others of concern to UNHCR,52437,2396
Bosnia and Herzegovina,Bosnia and Herzegovina,,Total population of concern,151011,5264
Bosnia and Herzegovina,Cameroon,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Cameroon,,Asylum-seekers,0,0
Bosnia and Herzegovina,Cameroon,,Total population of concern,0,0
Bosnia and Herzegovina,Croatia,,Total Refugee and people in refugee-like situations,5163,5163
Bosnia and Herzegovina,Croatia,,Total population of concern,5163,5163
Bosnia and Herzegovina,Egypt,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Egypt,,Total population of concern,0,0
Bosnia and Herzegovina,Gambia,,Asylum-seekers,0,0
Bosnia and Herzegovina,Gambia,,Total population of concern,0,0
Bosnia and Herzegovina,Iran (Islamic Rep. of),,Asylum-seekers,0,0
Bosnia and Herzegovina,Iran (Islamic Rep. of),,Total population of concern,0,0
Bosnia and Herzegovina,Iraq,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Iraq,,Asylum-seekers,0,0
Bosnia and Herzegovina,Iraq,,Total population of concern,0,0
Bosnia and Herzegovina,Jordan,,Asylum-seekers,0,0
Bosnia and Herzegovina,Jordan,,Total population of concern,0,0
Bosnia and Herzegovina,Kenya,,Asylum-seekers,0,0
Bosnia and Herzegovina,Kenya,,Total population of concern,0,0
Bosnia and Herzegovina,Montenegro,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Montenegro,,Total population of concern,0,0
Bosnia and Herzegovina,Nigeria,,Asylum-seekers,0,0
Bosnia and Herzegovina,Nigeria,,Total population of concern,0,0
Bosnia and Herzegovina,Pakistan,,Asylum-seekers,24,24
Bosnia and Herzegovina,Pakistan,,Total population of concern,24,24
Bosnia and Herzegovina,Palestinian,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Palestinian,,Total population of concern,0,0
Bosnia and Herzegovina,Philippines,,Asylum-seekers,0,0
Bosnia and Herzegovina,Philippines,,Total population of concern,0,0
Bosnia and Herzegovina,Rep. of Moldova,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Rep. of Moldova,,Total population of concern,0,0
Bosnia and Herzegovina,Russian Federation,,Asylum-seekers,11,11
Bosnia and Herzegovina,Russian Federation,,Total population of concern,11,11
Bosnia and Herzegovina,Saudi Arabia,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,Saudi Arabia,,Total population of concern,0,0
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,69,69
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,0,0
Bosnia and Herzegovina,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,73,73
Bosnia and Herzegovina,Sri Lanka,,Asylum-seekers,0,0
Bosnia and Herzegovina,Sri Lanka,,Total population of concern,0,0
Bosnia and Herzegovina,Stateless,,Persons under UNHCR's statelessness mandate,53,53
Bosnia and Herzegovina,Stateless,,Total population of concern,53,53
Bosnia and Herzegovina,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,14,14
Bosnia and Herzegovina,Syrian Arab Rep.,,Asylum-seekers,9,9
Bosnia and Herzegovina,Syrian Arab Rep.,,Total population of concern,23,23
Bosnia and Herzegovina,The former Yugoslav Republic of Macedonia,,Total Refugee and people in refugee-like situations,0,0
Bosnia and Herzegovina,The former Yugoslav Republic of Macedonia,,Total population of concern,0,0
Bosnia and Herzegovina,Turkey,,Asylum-seekers,19,19
Bosnia and Herzegovina,Turkey,,Total population of concern,19,19
Botswana,Algeria,,Total Refugee and people in refugee-like situations,0,0
Botswana,Algeria,,Total population of concern,0,0
Botswana,Angola,,Total Refugee and people in refugee-like situations,0,0
Botswana,Angola,,Others of concern to UNHCR,6,6
Botswana,Angola,,Total population of concern,8,8
Botswana,Burundi,,Total Refugee and people in refugee-like situations,46,46
Botswana,Burundi,,Asylum-seekers,13,13
Botswana,Burundi,,Others of concern to UNHCR,63,63
Botswana,Burundi,,Total population of concern,122,122
Botswana,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,92,92
Botswana,Dem. Rep. of the Congo,,Asylum-seekers,33,33
Botswana,Dem. Rep. of the Congo,,Others of concern to UNHCR,496,496
Botswana,Dem. Rep. of the Congo,,Total population of concern,621,621
Botswana,Eritrea,,Total Refugee and people in refugee-like situations,10,10
Botswana,Eritrea,,Total population of concern,10,10
Botswana,Ethiopia,,Total Refugee and people in refugee-like situations,0,0
Botswana,Ethiopia,,Total population of concern,0,0
Botswana,Kenya,,Total Refugee and people in refugee-like situations,0,0
Botswana,Kenya,,Asylum-seekers,0,0
Botswana,Kenya,,Total population of concern,0,0
Botswana,Namibia,,Total Refugee and people in refugee-like situations,928,928
Botswana,Namibia,,Asylum-seekers,11,11
Botswana,Namibia,,Others of concern to UNHCR,5,5
Botswana,Namibia,,Total population of concern,944,944
Botswana,Nigeria,,Asylum-seekers,0,0
Botswana,Nigeria,,Total population of concern,0,0
Botswana,Rwanda,,Total Refugee and people in refugee-like situations,18,18
Botswana,Rwanda,,Asylum-seekers,0,0
Botswana,Rwanda,,Others of concern to UNHCR,0,0
Botswana,Rwanda,,Total population of concern,24,24
Botswana,Sierra Leone,,Total Refugee and people in refugee-like situations,0,0
Botswana,Sierra Leone,,Total population of concern,0,0
Botswana,Somalia,,Total Refugee and people in refugee-like situations,319,319
Botswana,Somalia,,Asylum-seekers,10,10
Botswana,Somalia,,Others of concern to UNHCR,28,28
Botswana,Somalia,,Total population of concern,357,357
Botswana,South Sudan,,Total Refugee and people in refugee-like situations,0,0
Botswana,South Sudan,,Total population of concern,0,0
Botswana,Sudan,,Total Refugee and people in refugee-like situations,11,11
Botswana,Sudan,,Total population of concern,11,11
Botswana,Uganda,,Total Refugee and people in refugee-like situations,21,21
Botswana,Uganda,,Total population of concern,21,21
Botswana,Zambia,,Asylum-seekers,0,0
Botswana,Zambia,,Total population of concern,0,0
Botswana,Zimbabwe,,Total Refugee and people in refugee-like situations,691,691
Botswana,Zimbabwe,,Asylum-seekers,14,14
Botswana,Zimbabwe,,Others of concern to UNHCR,33,33
Botswana,Zimbabwe,,Total population of concern,738,738
Brazil,Afghanistan,,Total Refugee and people in refugee-like situations,98,35
Brazil,Afghanistan,,Asylum-seekers,61,17
Brazil,Afghanistan,,Total population of concern,159,52
Brazil,Albania,,Asylum-seekers,0,0
Brazil,Albania,,Total population of concern,0,0
Brazil,Algeria,,Total Refugee and people in refugee-like situations,7,0
Brazil,Algeria,,Asylum-seekers,14,0
Brazil,Algeria,,Total population of concern,21,0
Brazil,Andorra,,Asylum-seekers,0,0
Brazil,Andorra,,Total population of concern,0,0
Brazil,Angola,,Total Refugee and people in refugee-like situations,1109,79
Brazil,Angola,,Asylum-seekers,3682,2407
Brazil,Angola,,Total population of concern,4791,2486
Brazil,Argentina,,Total Refugee and people in refugee-like situations,11,0
Brazil,Argentina,,Asylum-seekers,14,0
Brazil,Argentina,,Total population of concern,25,0
Brazil,Armenia,,Total Refugee and people in refugee-like situations,0,0
Brazil,Armenia,,Asylum-seekers,0,0
Brazil,Armenia,,Total population of concern,7,0
Brazil,Australia,,Asylum-seekers,0,0
Brazil,Australia,,Total population of concern,0,0
Brazil,Bangladesh,,Total Refugee and people in refugee-like situations,10,5
Brazil,Bangladesh,,Asylum-seekers,1210,922
Brazil,Bangladesh,,Total population of concern,1220,927
Brazil,Barbados,,Asylum-seekers,0,0
Brazil,Barbados,,Total population of concern,0,0
Brazil,Belarus,,Asylum-seekers,0,0
Brazil,Belarus,,Total population of concern,0,0
Brazil,Belgium,,Asylum-seekers,0,0
Brazil,Belgium,,Total population of concern,0,0
Brazil,Belize,,Asylum-seekers,0,0
Brazil,Belize,,Total population of concern,0,0
Brazil,Benin,,Total Refugee and people in refugee-like situations,0,0
Brazil,Benin,,Asylum-seekers,165,50
Brazil,Benin,,Total population of concern,166,51
